dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation,spectral_density.df,spectral_density.bandwidth,dual.gini,force.gini,torque.gini,force.autocorr.mean,force.autocorr.sd,torque.autocorr.mean,torque.autocorr.sd,RUL
d9h8,253.5326433,18.71247608,287.1155,22.10711,121.6873717,10.71817377,409.5498,409.5498,-0.706130988,-0.607329036,2.280830153,1.917389858,188.756125,17.70230775,47.99672741,57.27822296,0.932493656,0.892949113,1.737842779,0.001443376,0.569370867,0.266461891,0.31766644,0.706010397,0.185353917,0.724234591,0.180971657,15
d9h9,252.6729184,18.11287113,288.2495,22.10711,127.5350959,11.21562846,418.0929,418.0929,-0.629202553,-0.501248219,2.199005644,1.735211799,192.181125,20.694249,50.47438273,61.92076551,0.942805485,0.917306924,1.791590494,0.001443376,0.58014265,0.281963338,0.345456085,0.71770601,0.182810086,0.730566865,0.18762719,14
d9h10,255.4325089,18.83210522,295.6208,22.27333,132.928559,11.41445997,438.0268,438.0268,-0.567874646,-0.533318655,2.098595462,1.772702867,214.552325,20.9435775,52.04057995,60.61170452,0.93841214,0.910334784,1.675468888,0.001336459,0.583427438,0.292300183,0.337338399,0.734315288,0.171405015,0.732850306,0.183367331,13
d9h11,258.6183414,19.55201801,297.3218,23.60308,128.4970284,11.52238081,423.7883,423.7883,-0.619259395,-0.578575104,2.162350779,1.82288018,197.60475,19.780044,49.68596878,58.93192613,0.943773257,0.915226356,1.782632541,0.001443376,0.573811119,0.278020748,0.326776568,0.730656218,0.172068398,0.735858705,0.180020731,12
d9h12,254.0324516,19.29274177,296.1878,23.93552,134.1283703,11.72938253,423.7883,423.7883,-0.563496546,-0.519017378,2.044077348,1.738637245,211.7461,21.608454,52.79969921,60.79686685,0.938932205,0.912124085,1.700352089,0.001336459,0.583595083,0.296378438,0.338472696,0.741935707,0.1677548,0.736621344,0.181043524,11
d9h13,263.853055,19.96885863,302.28935,24.600395,140.9024279,12.46680076,450.8415,450.8415,-0.514352244,-0.491718961,1.996177322,1.663158703,226.517975,23.68619025,53.40185579,62.43121349,0.949048101,0.928430729,1.708646489,0.001336459,0.586224744,0.301131703,0.347043825,0.756174566,0.15897641,0.750139927,0.174865756,10
d9h14,273.1043211,20.45119466,300.5883,26.26258,152.8030452,12.99565687,475.047,475.047,-0.400212854,-0.449620428,1.866587291,1.568190904,254.53865,25.099046,55.95043115,63.5447322,0.954898398,0.939285754,1.758412892,0.001336459,0.595026547,0.31785839,0.352577159,0.776421073,0.146129232,0.76815668,0.162866091,9
d9h15,278.3596399,20.93566338,315.2724,26.59502,150.6691333,13.22231765,473.6231,473.6231,-0.450341847,-0.482350756,1.926711332,1.600784042,255.063225,25.43148825,54.12750691,63.15690797,0.952166844,0.939463478,1.741824091,0.001336459,0.588902502,0.306321517,0.349071557,0.766612366,0.152036633,0.761564198,0.168212136,8
d9h16,286.3011953,21.80327831,313.2157,27.92477,161.7717177,14.02324736,494.9809,494.9809,-0.387898448,-0.441798619,1.795223476,1.554574316,286.57945,26.7612405,56.50403154,64.31715067,0.947080659,0.943618143,1.783296093,0.001336459,0.595225646,0.320354658,0.356318451,0.78733177,0.139368479,0.773799079,0.158835266,7
d9h17,282.2421146,21.45583504,309.7878,27.92477,163.8432966,14.46906424,499.2524,499.2524,-0.373029999,-0.377412517,1.762413809,1.482660188,294.15735,29.0051975,58.0506197,67.43650019,0.94964549,0.949861369,1.751777372,0.001283001,0.600800139,0.329347929,0.374126538,0.800634178,0.130619724,0.791545595,0.148527001,6
d9h18,288.8277532,21.8046224,307.73105,27.75855,170.9651096,14.57595341,519.6544,519.6544,-0.332927045,-0.391319097,1.73175937,1.476517148,313.6909,28.8389735,59.19275682,66.84799738,0.954111556,0.950118578,1.76770262,0.001283001,0.604792433,0.33659685,0.369908572,0.808513786,0.12645213,0.794779755,0.145958684,5
d9h19,295.7513493,22.31507092,322.8137,28.25721,175.5547664,14.77891849,516.7372,516.7372,-0.329554461,-0.369956554,1.703062032,1.491993234,327.2397,29.254524,59.35890632,66.22841821,0.94905513,0.955141694,1.775665245,0.001283001,0.604806233,0.336945897,0.3689011,0.812953703,0.123466139,0.795850905,0.142833759,4
d9h20,293.8176722,22.63224497,306.3599,28.25721,174.8399583,15.0298892,518.1958,518.1958,-0.331645028,-0.384767933,1.683631431,1.466786336,321.597725,29.8362855,59.50627715,66.40918397,0.939232857,0.950244232,1.687081048,0.001202813,0.603917376,0.337469008,0.367461972,0.814010583,0.121260135,0.797449456,0.142579551,3
